fips,2019_units,2020_Units ,Yr_Grwth,Percent_Growth
24009,6108,9360,3252,0.532416503
24011,321,54,-267,-0.831775701
24013,9383,11689,2306,0.245763615
24015,2603,2959,356,0.136765271
24017,3507,5443,1936,0.55203878
24021,19045,27127,8082,0.42436335
24025,14552,18025,3473,0.238661352
24027,38845,49142,10297,0.265079161
24029,1703,2028,325,0.190839695
24031,151865,190131,38266,0.251973793
24033,24351,32719,8368,0.343640918
24035,2647,3675,1028,0.388364186
24037,6390,9467,3077,0.481533646
24041,6757,9351,2594,0.38389818
24043,5569,7179,1610,0.289100377
24045,3415,3732,317,0.092825769
24047,1966,3094,1128,0.573753815
25001,108264,121258,12994,0.120021429
25003,24829,30209,5380,0.216682106
25005,62805,73333,10528,0.167629966
25007,13044,14028,984,0.075436983
25009,175846,209929,34083,0.193823004
25011,6224,8458,2234,0.358933162
25013,18329,26987,8658,0.472366196
25015,30738,42954,12216,0.397423385
25017,412326,496199,83873,0.203414289
25019,13966,17151,3185,0.228053845
25021,145983,179251,33268,0.227889549
25023,79760,100419,20659,0.259014544
25025,93981,101999,8018,0.085315117
25027,76336,93822,17486,0.229066233
26005,1137,1244,107,0.0941073
26007,890,1111,221,0.248314607
26009,190,190,0,0
26017,2459,3254,795,0.323302155
26021,2767,3157,390,0.140946874
26023,456,618,162,0.355263158
26025,1621,1999,378,0.233189389
26033,345,312,-33,-0.095652174
26037,1549,1975,426,0.275016139
26041,349,647,298,0.853868195
26045,3991,4657,666,0.16687547
26047,3121,2474,-647,-0.207305351
26049,5718,8182,2464,0.430919902
26055,5170,5794,624,0.120696325
26057,828,956,128,0.154589372
26059,333,734,401,1.204204204
26065,14612,19308,4696,0.321379688
26067,682,662,-20,-0.029325513
26073,1738,2149,411,0.236478711
26075,2148,3476,1328,0.618249534
26077,7389,7362,-27,-0.00365408
26081,21185,25978,4793,0.226244985
26087,1316,2069,753,0.57218845
26091,2002,1983,-19,-0.009490509
26093,8413,12481,4068,0.483537383
26099,22702,31510,8808,0.387983438
26101,871,1292,421,0.483352468
26103,1555,1532,-23,-0.014790997
26105,1018,1126,108,0.106090373
26107,975,1044,69,0.070769231
26111,4679,5476,797,0.170335542
26115,1943,3539,1596,0.82141019
26117,652,916,264,0.404907975
26121,4026,5145,1119,0.277943368
26123,291,662,371,1.274914089
26125,52259,68442,16183,0.309669148
26137,913,972,59,0.064622125
26139,7881,9840,1959,0.248572516
26145,2849,3934,1085,0.380835381
26147,3274,3597,323,0.098656078
26149,1125,1152,27,0.024
26155,675,1158,483,0.715555556
26159,1586,2135,549,0.346153846
26161,44356,57852,13496,0.304265488
26163,33003,44939,11936,0.361664091
26165,790,935,145,0.183544304
27003,13785,17992,4207,0.305186797
27007,502,570,68,0.135458167
27009,78,24,-54,-0.692307692
27013,1427,1972,545,0.381920112
27015,54,9,-45,-0.833333333
27019,7686,10130,2444,0.317980744
27025,156,293,137,0.878205128
27027,726,562,-164,-0.225895317
27035,850,1300,450,0.529411765
27037,26012,36245,10233,0.393395356
27041,974,971,-3,-0.003080082
27049,392,733,341,0.869897959
27053,133179,169029,35850,0.269186583
27059,867,1095,228,0.262975779
27061,392,334,-58,-0.147959184
27065,31,0,-31,-1
27067,613,546,-67,-0.109298532
27083,317,373,56,0.176656151
